Zone,Weight,FedEx First Overnight,FedEx Priority Overnight,FedEx Standard Overnight,FedEx 2Day A.M.,FedEx 2Day,FedEx Express Saver
2,1,68.04,37.04,33.87,25.37,22.59,21.03
2,2,68.53,37.53,36.13,25.82,23.51,21.42
2,3,71.94,40.94,39.26,26.25,23.89,22.75
2,4,75.66,44.66,42.35,27.03,24.62,23.15
2,5,76.04,45.04,43.1,27.82,25.37,23.55
2,6,82.63,51.63,45.49,29.03,26.46,25.45
2,7,83.29,52.29,46.96,30.27,27.57,25.86
2,8,83.52,52.52,49.43,31.49,28.68,26.83
2,9,83.76,52.76,51.12,33.15,30.15,27.06
2,10,84.23,53.23,51.38,34.73,30.4,27.33
2,11,93.53,62.53,55.08,36.28,33.06,32.41
2,12,95,64,56.92,39.39,34.81,33.21
2,13,95.24,64.24,57.55,40.9,37.27,36.21
2,14,96.55,65.55,59.78,42.93,39.13,36.6
2,15,96.79,65.79,62.08,45.93,40.61,36.84
2,16,101.06,70.06,63.39,48.11,41.57,39.06
2,17,105.08,74.08,64.76,48.45,42.84,39.3
2,18,105.68,74.68,68.6,51.7,44.27,42.87
2,19,106.16,75.16,70.44,52.03,46.03,43.97
2,20,106.55,75.55,71.75,52.29,47.62,44.21
2,21,109.85,78.85,73.68,57.43,49.83,45.48
2,22,113.47,82.47,76.27,58.11,51.37,48.75
2,23,113.92,82.92,77.57,60.94,52.63,50.62
2,24,116.12,85.12,79.5,63.29,53.83,50.85
2,25,116.56,85.56,80.58,63.53,55.58,51.1
2,26,121.8,90.8,80.81,65.47,57.25,55.86
2,27,122.34,91.34,84.48,66.54,59.08,57.67
2,28,124.25,93.25,84.85,68.17,60.97,59.41
2,29,124.72,93.72,86.49,71.64,62.55,59.65
2,30,125.15,94.15,90.43,73.79,62.8,59.88
2,31,128.73,97.73,92.11,74.31,63.05,61.81
2,32,131.52,100.52,94.02,74.54,63.32,62.07
2,33,133.92,102.92,96.1,77.53,68.55,65.58
2,34,136.13,105.13,97.76,79.95,70.7,66.88
2,35,138.38,107.38,100.55,81.57,72.13,68.18
2,36,142.83,111.83,101.18,84.29,73.26,70.12
2,37,143.29,112.29,101.42,84.57,74.61,70.49
2,38,143.55,112.55,103.2,87.77,75.86,71.04
2,39,144,113,105.83,90.18,78.27,71.27
2,40,144.28,113.28,110.62,90.84,78.52,71.69
2,41,149.28,118.28,112.52,94.83,82.33,79.96
2,42,151.01,120.01,114.61,98.63,83.67,81.43
2,43,154.23,123.23,116.52,99.03,85.43,83.01
2,44,157.01,126.01,118.53,100.08,86.87,83.62
2,45,163,132,120.45,100.36,87.25,83.86
2,46,166.61,135.61,122.27,100.62,89.95,84.09
2,47,168.57,137.57,124.89,105.04,90.23,84.33
2,48,168.81,137.81,126.72,107.13,92.11,84.57
2,49,169.04,138.04,128.65,107.37,92.36,84.8
2,50,169.83,138.83,131.18,108.49,92.61,85.19
2,51,185.48,154.48,133.04,114.67,93.47,91.63
2,52,187.83,156.83,135.71,122.52,100.07,93.74
2,53,189.54,158.54,138.18,123.31,102.07,97.34
2,54,190.02,159.02,139.99,123.84,103.51,97.88
2,55,190.61,159.61,142.71,124.37,105.42,98.36
2,56,202.18,171.18,145.32,124.95,106.26,98.83
2,57,203.65,172.65,148.46,128.16,106.75,99.3
